add 0110011 000 0000000
sub 0110011 000 0100000
sll 0110011 001 0000000
slt 0110011 010 0000000
sltu 0110011 011 0000000
xor 0110011 100 0000000
srl 0110011 101 0000000
sra 0110011 101 0100000
or 0110011 110 0000000
and 0110011 111 0000000
addw 0111011 000 0000000
subw 0111011 000 0100000
sllw 0111011 001 0000000
slrw 0111011 101 0000000
sraw 0111011 101 0100000
addi 0010011 000
lb 0000011 000
lh 0000011 001
lw 0000011 010
ld 0000011 011
lbu 0000011 100
lhu 0000011 101
lwu 0000011 110
fence 0001111 000
fence.i 0001111 001
slli 0010011 001 0000000
slti 0010011 010
sltiu 0010011 011
xori 0010011 100
slri 0010011 101 0000000
srai 0010011 101 0100000
ori 0010011 110
andi 0010011 111
addiw 0011011 000
slliw 0011011 001 0000000
srliw 0011011 101 0000000
sraiw 0011011 101 0100000
jalr 1100111 000
ecall 1110011 000 000000000000
ebreak 1110011 000 000000000001
CSRRW 1110011 001
CSRRS 1110011 010
CSRRC 1110011 011
CSRRWI 1110011 101
CSRRSI 1110011 110
CSRRCI 1110011 111
sw 0100011 010 -1
sb 0100011 000 -1
sh 0100011 001 -1
sd 0100011 011 -1
beq 1100011 000 -1
bne 1100011 001 -1
blt 1100011 100 -1
bge 1100011 101 -1
bltu 1100011 110 -1
bgeu 1100011 111 -1
auipc 0010111 -1 -1
lui 0110111 -1 -1
jal 1101111 -1 -1
mul 0110011 000 0000001
mulh 0110011 001 0000001
mulsu 0110011 010 0000001
mulu 0110011 011 0000001
div 0110011 100 0000001
divu 0110011 101 0000001
rem 0110011 110 0000001
remu 0110011 111 0000001
